region,cs,freq,ml,el,wc,tweet,author,lat,lon,Cebu,34.75%,2148, Dumaguete,7.67%,474, Davao,27.64%,1709, CDO,29.94%,1851,6182
o,,,,,1, Jgh, thejulioramos,8.474018,124.680325,,,,,,,,,,,,,
o,,,,,1, Baaaabe, hazelfaelnar07,8.474251,124.657296,,,,,,,,,,,,,
o,,,,,1," ""Diay?""      "," ""hazelfaelnar07",8.47425,124.657295,,,,,,,,,,,,,
v,,,,,1, Bubbly, jaredbestgee,7.087984,125.614962,,,,,,,,,,,,,
o,,,,,1, Tomorrow!, hazelfaelnar07,8.474172,124.657302,,,,,,,,,,,,,
v,,,,,1, Oh, _lucyxvii,7.115407,125.613998,,,,,,,,,,,,,
v,,,,,1, ayy, Kate_Pikot,7.18442,125.462958,,,,,,,,,,,,,
o,,,,,1, Goodmorning!, mooomai729,8.474902,124.644419,,,,,,,,,,,,,
v,,,,,1, Wayoyo, tonchidy,7.112942,125.605847,,,,,,,,,,,,,
v,,,,,1, Huy, _lucyxvii,7.115414,125.613948,,,,,,,,,,,,,
d,,,,,1, Wtf?!?!?!!?!?, theawezume,9.316731,123.306176,,,,,,,,,,,,,
v,,,,,1, Nothing...., body0114,7.077451,125.606892,,,,,,,,,,,,,
o,,,,,1,17%, hazelfaelnar07,8.473311,124.657606,,,,,,,,,,,,,
o,,,,,1, #GoodMorning, Iway_YMCMB,8.508871,124.601952,,,,,,,,,,,,,
c,,,,,1, @NoOutlet ;)   , jeanvillardo,10.293603,123.899857,,,,,,,,,,,,,
o,,,,,1, Gdmorning -- , hazelfaelnar07,8.474172,124.657302,,,,,,,,,,,,,
o,,,,,1, Retweet, andrea8211999,8.48463,124.664804,,,,,,,,,,,,,
o,,,,,1, Kadtooooo, hazelfaelnar07,8.474251,124.657296,,,,,,,,,,,,,
v,,,,,1, Nakapagtataka, assejperez,7.105624,125.61732,,,,,,,,,,,,,
v,,,,,1, ngeeeee, shoveey,7.069357,125.618805,,,,,,,,,,,,,
c,,,,,1, Jgh, jaeeeeeeeeeee,10.265447,123.8379,,,,,,,,,,,,,
o,,,,,1, Hiiiiiiii, Shicastic,8.449349,124.620318,,,,,,,,,,,,,
c,,,,,1, Jghhh, jaeeeeeeeeeee,10.265387,123.837819,,,,,,,,,,,,,
o,,,,,1, Classic, Shainafrancis,8.44725,124.644352,,,,,,,,,,,,,
d,,,,,1, \u261d, clairerosillo07,9.313211,123.275857,,,,,,,,,,,,,
d,,,,,1, Drained..., justalwaysSMYl,9.293572,123.276924,,,,,,,,,,,,,
o,,,,,1, Glittering, rapisonfire,8.461212,124.617898,,,,,,,,,,,,,
d,,,,,1," ""#tungodrjudnimu"" "," ""kliff_partosa",9.286237,123.264649,,,,,,,,,,,,,
o,,,,,1," ""Ghaaaaa!""      "," ""Romeoluzanojr",8.575776,124.370281,,,,,,,,,,,,,
o,,,,,1, Tachycardia, PatriciaEslao,8.5011,124.624105,,,,,,,,,,,,,
v,,,,,1, Haay, buuyang,7.065143,125.610651,,,,,,,,,,,,,
o,,,,,1, booring :(, AnneMindalano,8.447586,124.640037,,,,,,,,,,,,,
v,,,,,1, Weirdo, RjReroma08,7.059272,125.571481,,,,,,,,,,,,,
v,,,,,1, Homeyy, Kutingtingy,7.104563,125.633892,,,,,,,,,,,,,
o,,,,,1, Byeeee, DyanJenica,8.473559,124.674413,,,,,,,,,,,,,
o,,,,,1, Puhleaaase, hazelfaelnar07,8.474251,124.657296,,,,,,,,,,,,,
o,,,,,1, Tired., ParkYongHwa123,8.478406,124.645914,,,,,,,,,,,,,
c,,,,,1, GRIFFINS!!!, hashtag_banana,10.357026,123.918942,,,,,,,,,,,,,
o,,,,,1, Detroit, andrea8211999,8.484631,124.664813,,,,,,,,,,,,,
o,,,,,1, backk, bernardoxchandy,8.487089,124.639034,,,,,,,,,,,,,
o,,,,,1, Cravingssssss, TrixieThing,8.478065,124.644652,,,,,,,,,,,,,
c,,,,,1, datablitz, carlbautista3,10.312067,123.918201,,,,,,,,,,,,,
v,,,,,1, Goodnight ., hellodriiich,7.118462,125.642995,,,,,,,,,,,,,
o,,,,,1," ""Gooodmorning""      "," ""hazelfaelnar07",8.47425,124.657295,,,,,,,,,,,,,
d,,,,,1," ""#happy"" "," ""kliff_partosa",9.286237,123.264649,,,,,,,,,,,,,
o,,,,,1, Ugmaaaa!!, hazelfaelnar07,8.474172,124.657302,,,,,,,,,,,,,
v,,,,,1, Zzzz, ayaatea,7.094634,125.622525,,,,,,,,,,,,,
o,,,,,1, Sleepy, tikimatsura,8.487396,124.626271,,,,,,,,,,,,,
v,,,,,1, Dopey, tonchidy,7.112942,125.605847,,,,,,,,,,,,,
v,,,,,1, Brb, SeanKyleArtiaga,7.092131,125.622757,,,,,,,,,,,,,
c,,,,,1, Pity, cookiemarielle,10.320611,123.93388,,,,,,,,,,,,,
o,,,,,1, Deeeeeeym!, ClouienotChloe,8.505464,124.634988,,,,,,,,,,,,,
v,,,,,1, Gutomaaaaaaaa, paowiieekzzz,7.107269,125.637957,,,,,,,,,,,,,
v,,,,,1, Sleepyu, iilovecynthia,7.069869,125.602404,,,,,,,,,,,,,
o,,,,,1, Gehd, hazelfaelnar07,8.474251,124.657296,,,,,,,,,,,,,
o,,,,,1, Fenk, hazelfaelnar07,8.474172,124.657302,,,,,,,,,,,,,
d,,,,,1, Haaaaaayyy   , anxdlr,9.314616,123.306123,,,,,,,,,,,,,
o,,,,,1, Aaaw, JuliaEpie,8.252413,124.268074,,,,,,,,,,,,,
v,,,,,1, shthappens, eeyjhunnacano,7.039271,125.496102,,,,,,,,,,,,,
o,,,,,1, Ngano, Shainafrancis,8.44725,124.644352,,,,,,,,,,,,,
o,,,,,1, Why ?, ParkYongHwa123,8.478434,124.645944,,,,,,,,,,,,,
o,,,,,1, Hayst, Shainafrancis,8.44725,124.644352,,,,,,,,,,,,,
c,,,,,1, Jgh, ReahLoves,10.285059,123.99706,,,,,,,,,,,,,
o,,,,,1, Legggoooo, annepacaldo,8.47491,124.645821,,,,,,,,,,,,,
o,,,,,1, SmileJarons, itsmedenahembra,8.646781,124.749516,,,,,,,,,,,,,
o,,,,,1, WORK   , yammyHIHI,8.459468,124.643399,,,,,,,,,,,,,
